theta_index,u_index,theta_deg,u_D_meV,cG_best5_status,cG_best5_n_finite,cG_best5_n_k_values,cG_best5_best_n_k_values,cG_best5_excluded_n_k_values,cG_best5_intercept,abs_cG_best5_from_cG_intercept,cG_best5_slope,cG_best5_rmse,cG_best5_max_abs_resid,cG_best5_leaveout_max_abs_resid,cG_best5_leaveout_mean_abs_resid,cG_all_status,cG_all_n_finite,cG_all_n_k_values,cG_all_intercept,abs_cG_all_from_cG_intercept,cG_all_slope,cG_all_rmse,cG_all_max_abs_resid,cG_best5_minus_all_intercept,lowest_energy_clean_branch,lowest_energy_clean_cG,direct_gap_theta_down,gap_family_theta_down,direct_gap_theta_up,gap_family_theta_up,direct_gap_u_D_down,gap_family_u_D_down,direct_gap_u_D_up,gap_family_u_D_up,chern_hf_vpminus_band_0,chern_hf_vpplus_band_0,vp_topological_region_nk24,grey_mask_all,n_mesh,chern_values,n_chern_values,n_C1,n_C0,unstable_rank
21,12,3.05,6.0,fit_ok_best5,7,"18,19,20,21,22,23,24","18,19,20,22,23","21,24",0.1225539427649749,0.1225539427649749,-2.2374394910005173,0.009933696858693,0.0144205963661877,0.0420508318292226,0.03711343147989,fit_ok,7,"18,19,20,21,22,23,24",0.0211349360797571,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.0207427978108295,0.1014190066852177,theta_up,-0.0127235345226025,14.127642319892528,small_gap,35.22947934674296,large_gap,35.22947934679755,large_gap,14.127642319430256,small_gap,-1.0,1.0,True,False,7,"0,1",2,3,4,1
32,18,3.6,9.0,fit_ok_best5,7,"18,19,20,21,22,23,24","18,19,20,22,23","21,24",0.1258014369728438,0.1258014369728438,-2.317844562553572,0.0091373704188802,0.013249872780789,0.0422913922430338,0.0352622988057368,fit_ok,7,"18,19,20,21,22,23,24",0.0249732945847449,0.0249732945847449,-0.4294327910799244,0.015850961791753,0.0201470736663368,0.1008281423880989,theta_down,-0.0130668120432554,40.589805350518745,large_gap,40.58980535059148,large_gap,40.58980535062017,large_gap,16.289576757175812,small_gap,-0.9999999999999996,1.0,True,False,7,"0,1",2,3,4,2
30,17,3.5,8.5,fit_ok_best5,7,"18,19,20,21,22,23,24","19,20,22,23,24","18,21",-0.03234257357292,0.03234257357292,1.050900851290307,0.006950278843725,0.0110122956097509,0.0350760635195608,0.0286559509752202,fit_ok,7,"18,19,20,21,22,23,24",0.04076519539725,0.04076519539725,-0.6407065164601096,0.0123560136909668,0.0147908756034108,-0.0731077689701701,u_D_down,0.0004326662877584,16.00079065408786,small_gap,39.841935170795566,large_gap,39.84193517083496,large_gap,16.00079065415023,small_gap,-1.0000000000000009,0.9999999999999996,True,False,7,"0,1",2,3,4,3
39,22,3.95,11.0,fit_ok_best5,7,"18,19,20,21,22,23,24","18,19,20,22,23","21,24",0.0982977507000232,0.0982977507000232,-1.8755905790022196,0.006948867360055,0.0100349670126923,0.0316429466446389,0.0260021689819955,fit_ok,7,"18,19,20,21,22,23,24",0.0230734006501745,0.0230734006501745,-0.4648945779914891,0.0117900756089068,0.0151975966369038,0.0752243500498486,theta_up,-0.0114948034030414,16.84378118477397,small_gap,43.06499444951731,large_gap,43.064994449563734,large_gap,16.843781184993915,small_gap,-0.9999999999999996,1.000000000000001,True,False,7,"0,1",2,3,4,4
37,21,3.85,10.5,fit_ok_best5,7,"18,19,20,21,22,23,24","18,19,20,22,23","21,24",0.10821650865697,0.10821650865697,-1.8917383742656055,0.0070227389277518,0.0101715897897267,0.0297073776778084,0.0247207976599904,fit_ok,7,"18,19,20,21,22,23,24",0.0374181073111198,0.0374181073111198,-0.5655204367239755,0.0113770326543143,0.0141680570628593,0.0707984013458501,u_D_down,-0.0003133012819052,42.46839325583387,large_gap,42.468393255924624,large_gap,42.46839325592704,large_gap,16.711443497942994,small_gap,-1.000000000000001,1.0000000000000009,True,False,7,"0,1",2,3,4,5
19,11,2.95,5.5,fit_ok_best5,7,"18,19,20,21,22,23,24","19,20,22,23,24","18,21",0.0228035902107871,0.0228035902107871,-0.0894001500438251,1.653527389479882e-05,2.2415948499058397e-05,0.0264645496020845,0.0132826494817674,fit_ok,7,"18,19,20,21,22,23,24",0.0827518637975784,0.0827518637975784,-1.4151855777551796,0.0069484747283194,0.0127580772049119,-0.0599482735867913,theta_down,0.0190876638618328,34.0735033594884,large_gap,34.07350335940414,large_gap,34.07350335950292,large_gap,13.53659364038162,small_gap,-4.307001131148512e-17,2.4240685853515344e-16,False,False,7,"0,1",2,1,6,6
35,20,3.75,10.0,fit_ok_best5,7,"18,19,20,21,22,23,24","19,20,22,23,24","18,21",0.0408358262984984,0.0408358262984984,-0.3790581999025528,0.0004601382542414,0.0006152849913119,0.0229979276407161,0.0123401663621728,fit_ok,7,"18,19,20,21,22,23,24",0.0933839635003395,0.0933839635003395,-1.5358535065675,0.0061825417691505,0.0112796589167268,-0.052548137201841,u_D_down,0.0256570196272041,41.83175525610899,large_gap,41.83175525621241,large_gap,41.831755256222834,large_gap,16.53846978151742,small_gap,-6.184411880623504e-17,-2.5510699007571957e-16,False,False,7,"0,1",2,1,6,7
28,16,3.4000000000000004,8.0,fit_ok_best5,7,"18,19,20,21,22,23,24","19,20,22,23,24","18,21",0.0311582836274884,0.0311582836274884,-0.2079988274354577,0.0001300927820838,0.0001555379307521,0.0216497011891974,0.0110960393178843,fit_ok,7,"18,19,20,21,22,23,24",0.0803303396456398,0.0803303396456398,-1.2939250308675885,0.0057185879686927,0.0104925236833416,-0.0491720560181513,theta_up,0.0226469029289285,15.665112061555076,small_gap,39.05384224669242,large_gap,39.05384224674524,large_gap,15.665112061508392,small_gap,7.50964299789997e-17,-2.3854160110976374e-16,False,False,7,"0,1",2,1,6,8
40,23,4.0,11.5,fit_ok_best5,7,"18,19,20,21,22,23,24","19,20,22,23,24","18,21",0.0488420573546655,0.0488420573546655,-0.5243347234127483,0.0008331064137756,0.0011511749581245,0.0197900214677011,0.0113120052211444,fit_ok,7,"18,19,20,21,22,23,24",0.0944537916037584,0.0944537916037584,-1.5238368635419663,0.0055100845763006,0.0098738590429486,-0.0456117342490928,theta_down,0.0281459521705923,43.51625506670688,large_gap,43.51625506706047,large_gap,43.5162550671013,large_gap,16.778134957837246,small_gap,1.1043592643970544e-16,-1.0380977085332311e-16,False,False,7,"0,1",2,1,6,9
