theta_deg,u_D_meV,selected_phase,selected_indirect_gap_meV,negative_indirect_gap,delta_E_ivc_minus_vp_meV_per_cell,energy_total_per_cell,vp_reference_energy_per_cell,branch_id,gap_family_label,run_id,indirect_gap,vp_reference_name,vp_reference_indirect_gap_meV,vp_plus_indirect_gap,vp_minus_indirect_gap
2.0,0.0,VP,19.36889443607723,False,1.8155231646977015,-34.63426822236546,-36.449791387063165,u_D_down,large_gap,u_D_down_theta_000_u_000_warm,13.152286135006776,VP+,19.36889443607723,19.36889443607723,19.36889443277873
2.05,0.0,VP,19.71796724331454,False,1.7516450581001237,-34.48526369730408,-36.2369087554042,theta_down,small_gap,theta_down_theta_001_u_000_warm,0.2808083693797343,VP+,19.71796724331454,19.71796724331454,19.71796723976356
2.1,0.0,VP,20.04533447675614,False,1.7014461574961786,-34.32043438648517,-36.02188054398135,theta_up,small_gap,theta_up_theta_002_u_000_warm,0.1688457075929115,VP+,20.04533447675614,20.04533447675614,20.04533447320779
2.15,0.0,VP,20.350415210616323,False,1.652656037609752,-34.15173362475708,-35.80438966236683,u_D_up,single_gap,u_D_up_theta_003_u_000_mixed_seed_53,0.102066011289402,VP+,20.350415210616323,20.350415210616323,20.35041520722229
2.2,0.0,VP,20.63261549834,False,1.6058045129245855,-33.978352170308504,-35.58415668323309,u_D_down,single_gap,u_D_down_theta_004_u_000_warm,0.0564809524185179,VP+,20.63261549834,20.63261549834,20.63261549518442
2.25,0.0,VP,20.89133035524921,False,1.5608738231517947,-33.800062037550795,-35.36093586070259,u_D_up,single_gap,u_D_up_theta_005_u_000_mixed_seed_13,-0.0261305066261883,VP+,20.89133035524921,20.89133035524921,20.891330352372428
2.3,0.0,VP,21.125946065212815,False,1.5177858935521016,-33.61672565057146,-35.13451154412356,u_D_down,single_gap,u_D_down_theta_006_u_000_warm,-0.1064908676384348,VP+,21.125946065212815,21.125946065212815,21.125946062627296
2.35,0.0,VP,21.33584278565029,False,1.4764562541581583,-33.42823870721836,-34.90469496137652,u_D_down,single_gap,u_D_down_theta_007_u_000_warm,-0.1875700254991379,VP+,21.33584278565029,21.33584278565029,21.33584278335113
2.4,0.0,VP,21.415757428003815,False,1.436801121737446,-33.23452022002942,-34.67132134176686,u_D_down,single_gap,u_D_down_theta_008_u_000_warm,-0.2705619085294977,VP+,21.415757428003815,21.415757428003815,21.41575741985853
2.45,0.0,VP,21.103705586161496,False,1.3984027077697547,-33.03584463938532,-34.43424734715507,u_D_up,single_gap,u_D_up_theta_009_u_000_mixed_seed_53,0.0196097700253155,VP+,21.103705586161496,21.103705586161496,21.103705579655863
