n_k,inv_n_k,theta_deg,u_D_meV,source_branch,cG,fit_cG,chern_hf_vpplus_band_0,vpplus_band0_chern_rounded,chern_hf_vpminus_band_0,vp_plus_direct_gap,vp_minus_direct_gap,vp_plus_clean,vp_minus_clean,cG_all_intercept,cG_all_slope,cG_all_rmse
18,0.0555555555555555,3.05,6.0,u_D_down,-0.0161688475456859,0.0018161443950221769,0.9999999999999996,1,-0.9999999999999992,4.635943875534132,4.635945064096219,True,True,0.0211349360797571,-0.347738250325229,0.0167984309751311
19,0.0526315789473684,3.05,6.0,theta_up,0.0184412701537412,0.0028329229047450583,-2.208718528794109e-17,0,-1.2479259687686716e-16,8.386842833371524,8.386842427845195,True,True,0.0211349360797571,-0.347738250325229,0.0167984309751311
20,0.05,3.05,6.0,u_D_down,0.0186872227617353,0.003748023563495649,-2.6504622345529306e-17,0,-6.847027439261738e-17,8.338603734423046,8.338603280937903,True,True,0.0211349360797571,-0.347738250325229,0.0167984309751311
21,0.0476190476190476,3.05,6.0,u_D_down,-0.0161668260322738,0.004575971778555725,1.0000000000000004,1,-1.0000000000000009,4.006091959947078,4.006093852320902,True,True,0.0211349360797571,-0.347738250325229,0.0167984309751311
22,0.0454545454545454,3.05,6.0,theta_up,0.0193521242531425,0.0053286519740648915,-1.5902773407317583e-16,0,-2.479286548571387e-16,7.920461323740412,7.920460873377088,True,True,0.0211349360797571,-0.347738250325229,0.0167984309751311
23,0.0434782608695652,3.05,6.0,theta_up,0.0195420295818234,0.006015881717790628,-4.693526873687482e-17,0,-6.736591512822031e-17,7.887019747512369,7.887019251615989,True,True,0.0211349360797571,-0.347738250325229,0.0167984309751311
24,0.0416666666666666,3.05,6.0,theta_up,-0.0127235345226025,0.006645842316205915,1.0,1,-1.0,3.4808539985457116,3.4808572698807367,True,True,0.0211349360797571,-0.347738250325229,0.0167984309751311
