u_D_meV,hf_band_chern,fixed_indirect_gap_meV,fixed_per_k_valid_insulator,all_global_fillings_converged,charge_gap_intrinsic_meV,charge_gap_raw_meV,sampling,uniform_capacitance_contribution_meV
0.0,1.0000000000000002,15.414100153878962,True,True,13.999490695463464,15.318050651760132,coarse,1.3185599562966672
1.0,0.9999999999999996,15.672712395732308,True,True,14.259097107638809,15.577657063789957,coarse,1.318559956151148
2.0,1.0,16.441110010634148,True,True,15.030290406946731,16.348850363196107,coarse,1.3185599562493753
3.0,1.0,17.701968314694547,True,True,16.295178433982073,17.61373839017324,coarse,1.3185599561911658
4.0,1.000000000000001,16.22729520252744,True,True,14.773442622894436,16.092002579171094,coarse,1.3185599562766583
5.0,1.0000000000000009,14.26798609770922,True,True,12.712081019508332,14.030640975717688,coarse,1.3185599562093557
5.090909090909091,1.0000000000000009,13.591201108647994,True,True,11.813045134265847,13.131605090427913,new refinement,1.3185599561620656
5.181818181818182,1.0,12.781545468031965,True,True,10.94090045527082,12.259460411398322,new refinement,1.318559956127503
5.2727272727272725,1.0,11.907889751279797,True,True,9.982962984537153,11.30152294076106,new refinement,1.3185599562239076
5.363636363636363,0.9999999999999996,10.949831841536216,True,True,8.903563529020175,10.222123485291377,new refinement,1.3185599562712014
5.454545454545454,1.0000000000000002,9.87381629335212,True,True,7.633965992126832,8.952525948254333,new refinement,1.3185599561275012
5.545454545454546,0.9999999999999996,8.617924461554772,True,True,6.0054781660237495,7.324038122264028,new refinement,1.3185599562402786
5.636363636363637,1.0000000000000009,7.0450728997631344,True,True,3.4263695748541068,4.7449295310580055,new refinement,1.3185599562038988
5.7272727272727275,1.0,4.736432357274872,True,True,-0.1808414800252649,1.137718476325972,new refinement,1.318559956351237
5.75,0.9999999999999994,3.899734451342411,True,True,-1.0419602656802454,0.2765996905800421,existing refined point,1.3185599562602874
5.818181818181818,-1.0601848938211721e-16,7.50931490994018,True,True,5.462620649099335,6.781180605263216,new refinement,1.318559956163881
5.909090909090909,-1.568190155443817e-16,8.284531476130063,True,True,6.378485784096483,7.697045740169415,new refinement,1.3185599560729315
6.0,-4.969616689786745e-17,8.968546930029376,True,True,7.155079632377237,8.473639588613878,coarse,1.3185599562366406
7.0,-1.7669748230352868e-17,13.98676554767514,True,True,12.479475287354944,13.798035243416962,coarse,1.3185599560620176
8.0,-1.2203169871587452e-16,17.274721678103333,True,True,15.838438140275684,17.15699809657235,coarse,1.3185599562966672
9.0,-4.141347241488954e-17,19.866416198619767,True,True,18.46223387728423,19.78079383349541,coarse,1.3185599562111783
10.0,4.417437057588219e-18,22.043919412811263,True,True,20.657926264992057,21.97648622126144,coarse,1.3185599562693824
