u_D_meV,selected_direction_Nminus,selected_direction_N0,selected_direction_Nplus,down_minus_up_intrinsic_Nminus_meV,down_minus_up_intrinsic_N0_meV,down_minus_up_intrinsic_Nplus_meV,charge_gap_raw_meV,charge_gap_intrinsic_meV,uniform_capacitance_contribution_meV,mu_minus_hole_raw_meV,mu_plus_hole_raw_meV,mu_minus_hole_intrinsic_meV,mu_plus_hole_intrinsic_meV,selected_hf_band_chern,selected_direct_gap_meV,selected_indirect_gap_meV,selected_fixed_per_k_valid_insulator,selected_chern_physically_interpretable,up_hf_band_chern,down_hf_band_chern,up_all_fillings_converged,down_all_fillings_converged,transition_bracket_left_meV,transition_bracket_right_meV,transition_linear_estimate_meV
5.0,down,up,down,-0.0914734660073008,9.094947017729282e-12,-3.637978807091713e-12,13.939167509568506,12.6206075535556,1.3185599560129049,377.52923389661737,391.4684014061859,-49.02491194322829,-36.40430438967269,1.0,14.35028552292244,14.267986096716632,True,True,1.0,0.9999999999999996,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.052631578947368,down,down,up,-0.4067194210365414,-1.091393642127514e-11,1.091393642127514e-11,13.478583584139416,12.160023627831832,1.3185599563075812,377.7470183770493,391.22560196118866,-48.80712746265272,-36.64710383482088,0.9999999999999996,13.916367116453152,13.916367116453152,True,True,1.0000000000000004,0.9999999999999996,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.105263157894737,down,down,up,-0.7337603097766987,-9.094947017729282e-12,0.0,12.99862541155744,11.680065455422664,1.3185599561347772,377.9747485865301,390.9733739980875,-48.57939725325741,-36.89933179783475,1.0,13.467009055610411,13.467009055610411,True,True,1.0,1.0,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.157894736842105,down,up,down,-1.0743374131452583,9.094947017729282e-12,-3.637978807091713e-12,12.496245968039148,11.177686011704282,1.318559956334866,378.214002003042,390.7102479710811,-48.34014383666181,-37.16245782495753,1.0000000000000002,13.000176591315714,13.000176591315714,True,True,1.0000000000000002,1.0000000000000004,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.2105263157894735,down,down,down,-1.43068450345163,-3.637978807091713e-12,-1.8189894035458565e-12,11.96752594474674,10.648965988619238,1.3185599561275012,378.4668101698408,390.4343361145875,-48.08733566996307,-37.43836968134383,1.0,12.51335807331644,12.51335807331644,True,True,0.9999999999999996,1.0,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.2631578947368425,up,up,up,0.0,2.182787284255028e-11,2.182787284255028e-11,11.407285113025864,10.088725156674627,1.318559956351237,378.7358624380213,390.1431475510471,-47.818283401658846,-37.72955824498422,1.0,12.003395866458328,12.003395866458328,True,True,1.0,0.9999999999999996,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.315789473684211,down,up,up,-7.275957614183426e-12,0.0,1.8189894035458565e-11,10.808442047455172,9.489882091218533,1.3185599562366406,379.0248428051564,389.83328485261154,-47.52930303465473,-38.0394209434362,1.0000000000000009,11.46623311885378,11.46623311885378,True,True,1.0000000000000009,1.0000000000000009,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.368421052631579,up,down,up,1.091393642127514e-11,-1.8189894035458565e-12,7.275957614183426e-12,10.160891728730348,8.842331772431862,1.3185599562984862,379.3390231085068,389.4999148372371,-47.21512273120243,-38.372790958770565,1.0000000000000004,10.89652086530041,10.89652086530041,True,True,1.0000000000000002,1.0000000000000004,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.421052631578947,down,up,up,-5.4569682106375694e-12,7.275957614183426e-12,1.091393642127514e-11,9.44937278793077,8.130812831885123,1.318559956045647,379.6863973170548,389.1357701049856,-46.86774852278177,-38.73693569089664,0.9999999999999996,10.286980145579292,10.286980145579292,True,True,0.9999999999999996,1.0,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.473684210526316,down,down,up,-1.8189894035458565e-12,-3.637978807091713e-12,1.8189894035458565e-12,8.648948382913659,7.330388426838908,1.3185599560747503,380.08010683183966,388.7290552147533,-46.47403900797872,-39.14365058113981,1.0000000000000004,9.627308766163694,9.627308766163694,True,True,1.0000000000000009,1.0000000000000004,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.526315789473684,up,up,down,1.4551915228366852e-11,3.861556325766287,-9.094947017729282e-12,7.713842670775193,6.395282714638597,1.3185599561365962,380.54451337531646,388.2583560460917,-46.00963246453102,-39.614349749892426,1.0,8.90217720237748,8.90217720237748,True,True,1.0,-4.85918076334704e-17,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.578947368421053,up,up,down,1.091393642127514e-11,2.204640959698736,-1.091393642127514e-11,6.543768586096121,5.2252086296812195,1.3185599564149015,381.13380805166526,387.6775766377614,-45.420337787982135,-40.195129158300915,1.0000000000000002,8.087222266499943,8.087222266499943,True,True,1.0000000000000002,-5.3009244691058605e-17,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.631578947368421,up,up,down,7.275957614183426e-12,0.5550589705053426,-3.637978807091713e-12,4.919774081921787,3.6012141256451287,1.3185599562766583,381.96223135962646,386.88200544154824,-44.59191448007732,-40.99070035443219,1.0,7.140084463274675,7.140084463274675,True,True,1.0,1.159577227616907e-16,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.684210526315789,up,down,down,5.4569682106375694e-12,-1.0329174822327332,-3.637978807091713e-12,4.930222775619768,3.6116628195213702,1.3185599560983974,381.9642688443564,386.8944916199762,-44.58987699546378,-40.97821417594241,-6.294847807063211e-17,6.101271364646621,6.101271364646621,True,True,1.0000000000000002,-6.294847807063211e-17,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.7368421052631575,up,down,up,1.2732925824820995e-11,-2.498460094926486,1.8189894035458565e-12,5.76543978312111,4.446879826968143,1.318559956152967,381.5441032340168,387.3095430171379,-45.010042605777926,-40.56316277880978,7.178335218580854e-17,6.704276281338096,6.704276281338096,True,True,1.0000000000000009,7.178335218580854e-17,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.7894736842105265,up,down,up,1.4551915228366852e-11,-3.744376764067056,7.275957614183426e-12,6.4499580872943625,5.131398131112292,1.318559956182071,381.1949863850241,387.64494447231846,-45.35915945472516,-40.22776132361287,1.0380977085332311e-16,7.23954153806875,7.23954153806875,True,True,1.0,1.0380977085332311e-16,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.842105263157895,up,up,down,1.091393642127514e-11,1.6370904631912708e-11,-1.091393642127514e-11,7.039704171635094,5.721144215520326,1.3185599561147685,380.89090383486473,387.9306080064998,-45.66324200495001,-39.94209778942968,2.0982826023544033e-17,7.724080763428475,7.724080763428475,True,True,2.0982826023544033e-17,-8.834874115176436e-17,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.894736842105263,up,up,down,2.0008883439004418e-11,0.0,-9.094947017729282e-12,7.563327065756312,6.244767109697932,1.3185599560583796,380.6183692585546,388.1816963243109,-45.93577658131653,-39.6910094716186,4.85918076334704e-17,8.168998788028766,8.168998788028766,True,True,4.85918076334704e-17,-7.288771145020558e-17,True,True,5.631578947368421,5.684210526315789,5.64997571262034
5.947368421052632,up,down,up,2.182787284255028e-11,-5.4569682106375694e-12,5.4569682106375694e-12,8.037685234034143,6.719125277790226,1.3185599562439163,380.36938893743354,388.4070741714677,-46.18475690230116,-39.465631624510934,-2.2087185287941093e-18,8.581972363231692,8.581972363231692,True,True,3.202641866751458e-17,-2.2087185287941093e-18,True,True,5.631578947368421,5.684210526315789,5.64997571262034
6.0,down,up,down,-9.094947017729282e-12,1.8189894035458565e-12,-1.2732925824820995e-11,8.473639588453807,7.1550796323572285,1.3185599560965784,380.13878881160053,388.61242840005434,-46.41535702823603,-39.2602773958788,-3.3130777931911635e-17,8.968546929826516,8.968546929826516,True,True,-3.3130777931911635e-17,1.987846675914698e-17,True,True,5.631578947368421,5.684210526315789,5.64997571262034
