b1,u1,cG_nk18,cG_nk19,cG_nk20,cG_nk21,cG_nk22,cG_nk_last_minus_first,cG_span_across_computed_n_k
0.08,0.1,-0.07238338003969094,-0.07240903582663524,-0.07243205828756702,-0.07245267803114824,-0.07247113338785871,-8.775334816776836e-05,8.775334816776836e-05
0.1,-0.1,-0.07256886402069933,-0.07257560453209191,-0.07258269302462046,-0.07258978911395828,-0.07259668418050602,-2.78201598066935e-05,2.78201598066935e-05
0.1,-0.08,-0.07253247510884295,-0.07254310379998516,-0.0725534875120401,-0.07256339287843257,-0.07257269690626664,-4.022179742368959e-05,4.022179742368959e-05
0.1,-0.06,-0.07250393732183381,-0.07251759629336085,-0.07253053722933893,-0.07254261526584195,-0.072553777337844,-4.984001601018861e-05,4.984001601018861e-05
0.1,-0.04,-0.07248075588848513,-0.07249684372427836,-0.07251182891422936,-0.07252564028120316,-0.07253828248145776,-5.752659297263152e-05,5.752659297263152e-05
0.1,-0.02,-0.07246131300978462,-0.07247940244688261,-0.07249606977595392,-0.07251130597266908,-0.07252516409667657,-6.385108689195562e-05,6.385108689195562e-05
0.1,0,-0.07244453897264677,-0.0724643217215451,-0.07248241113924217,-0.07249885147227828,-0.07251373710860196,-6.919813595518409e-05,6.919813595518409e-05
0.1,0.02,-0.07242971436352985,-0.07245096403972434,-0.07247028523651775,-0.07248776863810547,-0.07250354457354311,-7.383021001325374e-05,7.383021001325374e-05
0.1,0.04,-0.07241634832578461,-0.072438895375281,-0.07245930614965812,-0.07247771248274358,-0.07249427650716456,-7.792818137994373e-05,7.792818137994373e-05
0.1,0.06,-0.07240410189258606,-0.07242781648309812,-0.07244920810383665,-0.07246844559951188,-0.07248571968613068,-8.161779354462495e-05,8.161779354462495e-05
0.1,0.08,-0.07239273863587616,-0.07241751888174619,-0.07243980608026593,-0.07245980279673711,-0.07247772577986605,-8.498714398989804e-05,8.498714398989804e-05
0.1,0.1,-0.07238209223848374,-0.07240785603466032,-0.07243097010311181,-0.07245166806167691,-0.07247019062857202,-8.809839008827591e-05,8.809839008827591e-05
